UNIT,ID,X,Y,Z,SUFFIX,Prism,code,CL,Length,Width
UNIT,727,57.683,59.35,1195.599,1,0,LITHIC,1a,26.6,16.0
UNIT,730,57.663,59.285,1195.559,0,0,LITHIC,1a,33.5,15.2
UNIT,730,57.699,59.266,1195.571,1,0,LITHIC,1a,33.5,15.2
UNIT,739,58.168,59.135,1195.566,0,0,LITHIC,1a,42.9,27.4
UNIT,739,58.128,59.117,1195.559,1,0,LITHIC,1a,42.9,27.4
UNIT,743,58.593,61.12,1195.544,0,0,LITHIC,1a,26.7,20.9
UNIT,743,58.596,61.093,1195.539,1,0,LITHIC,1a,26.7,20.9
UNIT,747,57.746,59.761,1195.504,1,0,LITHIC,1a,64.5,38.9
UNIT,747,57.769,59.819,1195.53,0,0,LITHIC,1a,64.5,38.9
UNIT,780,58.296,59.227,1195.438,0,0,LITHIC,1a,44.5,44.0
UNIT,780,58.283,59.182,1195.458,1,0,LITHIC,1a,44.5,44.0
UNIT,791,52.266,60.345,1195.292,1,0.200000003,LITHIC,1a,65.8,45.0
UNIT,791,52.293,60.392,1195.269,0,0.200000003,LITHIC,1a,65.8,45.0
UNIT,807,53.265,59.57,1195.326,0,0,LITHIC,1a,39.6,27.8
UNIT,807,53.261,59.524,1195.337,1,0,LITHIC,1a,39.6,27.8
UNIT,895,53.103,59.913,1195.286,0,0,LITHIC,1a,39.6,24.1
UNIT,895,53.066,59.916,1195.287,1,0,LITHIC,1a,39.6,24.1
UNIT,910,57.257,60.814,1195.141,0,0,LITHIC,1b,83.4,57.4
UNIT,910,57.264,60.883,1195.106,1,0.100000001,LITHIC,1b,83.4,57.4
UNIT,916,57.052,59.042,1195.395,0,0,LITHIC,1a,19.7,15.7
UNIT,916,57.062,59.057,1195.383,1,0,LITHIC,1a,19.7,15.7
UNIT,919,57.232,59.215,1195.369,1,0,LITHIC,1a,20.8,18.3
UNIT,919,57.245,59.231,1195.371,0,0,LITHIC,1a,20.8,18.3
UNIT,922,52.176,60.134,1195.201,0,0,LITHIC,1a,26.6,17.0
UNIT,922,52.188,60.113,1195.203,1,0,LITHIC,1a,26.6,17.0
UNIT,926,55.046,59.491,1195.374,1,0,LITHIC,1a,23.3,7.7
UNIT,926,55.073,59.487,1195.372,0,0,LITHIC,1a,23.3,7.7
UNIT,929,55.078,59.051,1195.411,0,0,LITHIC,1a,42.0,40.9
UNIT,929,55.035,59.067,1195.408,1,0,LITHIC,1a,42.0,40.9
UNIT,935,51.405,59.302,1195.225,0,0,LITHIC,1a,41.5,46.6
UNIT,935,51.389,59.294,1195.215,1,0,LITHIC,1a,41.5,46.6
UNIT,945,55.296,59.257,1195.293,0,0,BONE,1a,,
UNIT,945,55.308,59.286,1195.286,1,0,BONE,1a,,
UNIT,946,50.921,59.25,1195.222,1,0,LITHIC,1a,82.0,48.6
UNIT,946,50.961,59.189,1195.214,0,0,LITHIC,1a,82.0,48.6
UNIT,958,57.854,59.121,1195.401,0,0,LITHIC,1a,34.8,27.2
UNIT,958,57.823,59.133,1195.408,1,0,LITHIC,1a,34.8,27.2
UNIT,964,52.701,59.561,1195.246,1,0,LITHIC,1a,30.7,17.3
UNIT,964,52.682,59.56,1195.255,0,0,LITHIC,1a,30.7,17.3
